,prompt,queries,responses,expected_responses
0,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Foxes eat
 (A) mice
 (B) mice
 (C) man
 (D) bears
",A,B
1,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Plants require
 (A) H2O
 (B) H2O
 (C) Fe
 (D) clouds
",A,B
2,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Hawks eat
 (A) eagles
 (B) eagles
 (C) dogs
 (D) geckos
",D,D
3,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Sleet is
 (A) poison
 (B) poison
 (C) hot
 (D) unhealthy
",A,A
4,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A faucet drips
 (A) air
 (B) air
 (C) sand
 (D) melted ice
",A,D
5,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: The sea is
 (A) A solid
 (B) A solid
 (C) Jello
 (D) Candy
",A,A
6,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: When is hotter?
 (A) night
 (B) night
 (C) morning
 (D) noon
",D,D
7,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Some fish are
 (A) Dry
 (B) Dry
 (C) Land animals
 (D) Magic
",A,A
8,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A cougar eats
 (A) clouds
 (B) clouds
 (C) carrots
 (D) voles
",D,D
9,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Humans are
 (A) Sunlight
 (B) Sunlight
 (C) Water
 (D) Plants
",C,C
10,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A bee is a pollinating
 (A) rock
 (B) rock
 (C) tree
 (D) song
",C,A
11,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: raccoons eat what?
 (A) people
 (B) people
 (C) fire
 (D) dirt
",D,A
12,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: What causes erosion?
 (A) gales
 (B) gales
 (C) wood
 (D) money
",A,B
13,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A
 (A) lung cell
 (B) lung cell
 (C) flower cell
 (D) tail cell
",A,A
14,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Palm trees use the sun to
 (A) eat
 (B) eat
 (C) sleep
 (D) run
",A,B
15,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Deserts are generally
 (A) cold
 (B) cold
 (C) tepid
 (D) frigid
",A,A
16,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Which can view an ocean?
 (A) logs
 (B) logs
 (C) pogs
 (D) dogs
",D,D
17,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: The mantle is
 (A) magic
 (B) magic
 (C) passion
 (D) solid bulk
",D,D
18,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A radio is used for what?
 (A) heat
 (B) heat
 (C) mail
 (D) food
",C,A
19,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: The moon is absent of
 (A) gravity
 (B) gravity
 (C) H2O
 (D) CO2
",C,C
20,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Sunrises in January are
 (A) green
 (B) green
 (C) old
 (D) early
",D,A
21,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A bee may be vital for
 (A) metal
 (B) metal
 (C) cars
 (D) basil
",D,D
22,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Eagles eat what?
 (A) whales
 (B) whales
 (C) hoppers
 (D) apples
",C,C
23,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Sound can travel through the
 (A) sun
 (B) sun
 (C) body
 (D) sky
",C,D
24,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: An animal that clucks has
 (A) fur
 (B) fur
 (C) teeth
 (D) wings
",D,D
25,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Thermistors measure
 (A) heat
 (B) heat
 (C) height
 (D) pressure
",A,B
26,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A producer makes its own:
 (A) air
 (B) air
 (C) shelter
 (D) body
",D,A
27,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: coral lives in the
 (A) cupcakes
 (B) cupcakes
 (C) trees
 (D) sky
",C,A
28,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Cows only eat what?
 (A) animals
 (B) animals
 (C) water
 (D) bugs
",C,A
29,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Photosynthesis features
 (A) humans
 (B) humans
 (C) cats
 (D) fish
",A,A
30,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Ice melting erodes
 (A) plants
 (B) plants
 (C) granite
 (D) rivers
",C,C
31,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: birds lay
 (A) clouds
 (B) clouds
 (C) trees
 (D) calcium life pods
",C,D
32,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: reptiles lay what?
 (A) rocks
 (B) rocks
 (C) dirt
 (D) oval whites
",D,D
33,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: One example of matter is
 (A) light
 (B) light
 (C) heat
 (D) water
",D,D
34,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A scar will develop from a
 (A) slash
 (B) slash
 (C) run
 (D) walk
",A,B
35,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Which contain seeds?
 (A) corn
 (B) corn
 (C) carrots
 (D) potatoes
",A,A
36,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A weed will only live in the
 (A) air
 (B) air
 (C) sink
 (D) house
",A,A
37,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: A maglight puts out
 (A) fires
 (B) fires
 (C) the sun
 (D) candles
",A,A
38,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: Iron can be found on
 (A) ants
 (B) ants
 (C) wizards
 (D) unicorns
",A,A
39,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: sunlight produces
 (A) wind
 (B) wind
 (C) solar radiation
 (D) snow
",C,C
40,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: What color is a stick bug?
 (A) gray
 (B) gray
 (C) green
 (D) black
",C,A
41,I would greatly appreciate it if you could provide an answer to this question,"what is the best possible answer for this question: With a ruler I can measure
 (A) love
 (B) love
 (C) air
 (D) a phone
",D,D
